city,company,jobtitle,jobkey,description,url,expired
Portland,HDR,Transportation Planning Business Class Leader,953a96f18c51a5e9,Achieve quality program metrics and financial plan results. Technical Expertise and Oversight of Area Planning Program....,http://www.indeed.com/viewjob?jk=953a96f18c51a5e9&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhrp1a0sk887,false
Portland,State of Oregon,Operations and Policy Analyst 3 (Air Program Analyst),64dc72af4e8a1546,The pool of qualified applicants established from this announcement may be used to fill future vacancies| both limited duration and permanent| and for other DEQ...,http://www.indeed.com/viewjob?jk=64dc72af4e8a1546&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhrp1a0sk887,false
Portland,Oregon Health & Science University,Clinical Value Analysis Manager,0b17475871b18570,Acts as the prime resource to Value Analysis staff with problem resolution. Analytical skills including cost-benefit analysis and financial feasibility studies|...,http://www.indeed.com/viewjob?jk=0b17475871b18570&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhrp1a0sk887,false
Hillsboro,Acumed,SAP Business Systems Analyst – PP/PM/QM/ECM,1947f9408ac207c8,The SAP Business Systems Analyst (BSA) provides business process analysis and SAP configuration expertise to identify problems and realize opportunities for...,http://www.indeed.com/viewjob?jk=1947f9408ac207c8&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhrp1a0sk887,false
Portland,Moda Health,Regulatory Analyst - Ardon Health,7e1886a1135072a5,We work to build trusted relationships and to be a resource that patients can turn to for help. Demonstrate the behavioral and technical competencies necessary...,http://www.indeed.com/viewjob?jk=7e1886a1135072a5&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhrp1a0sk887,false
Portland,Kaiser Permanente,Tax Analyst,b2bdfa332bac1679,Payroll Tax Analyst ***3 - 4 - month contract position***. Tax accounting| receivables| payables| payroll| property| general ledger and financial reporting....,http://www.indeed.com/viewjob?jk=b2bdfa332bac1679&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhrp1a0sk887,false
Portland,New Relic,Senior Finance Manager - Product,a8651b991a1da243,The Senior Finance Manager will act as a key analytical engine and resource to provide insights and support optimal business decision-making....,http://www.indeed.com/viewjob?jk=a8651b991a1da243&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhrp1a0sk887,false
Mill Plain,TwinStar Credit Union,Business Relationship Manager Southwest Region,5049c649552eb9e2,Collecting and reviewing the loan application and supporting financial documentation; Experience with and/or working knowledge of financial services loan and...,http://www.indeed.com/viewjob?jk=5049c649552eb9e2&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhrp1a0sk887,false
Portland,The Standard,Business Systems Analyst II,ff9e461c28aeba19,Business Systems Analyst II. The Business System Analyst helps team members grow their business| systems| and process knowledge and models superior customer...,http://www.indeed.com/viewjob?jk=ff9e461c28aeba19&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhrp1a0sk887,false
Beaverton,FormFactor  Inc.,Oracle Financials Business Analyst,349beea324da47f1,ORACLE FINANCIALS BUSINESS ANALYST. Minimum of 5 years experience as an Oracle Business Analyst. Provide guidance to the team on functional and technical in...,http://www.indeed.com/viewjob?jk=349beea324da47f1&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhrp1a0sk887,false
Portland,City of Portland  OR,Emergency Communications Director,4ffb37f46ab437b6,John DiGrazia| Senior Human Resources Analyst. Monitoring and controlling budget and financial resources:. The City of Portland is seeking a highly experienced...,http://www.indeed.com/viewjob?jk=4ffb37f46ab437b6&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhs27afgnehu,false
Beaverton,CBRE,Business Systems Analyst,686742a2baeffa0c,Conducts basic financial analysis. Requires knowledge of financial terms and principles. Under general supervision| formulates and defines systems scope and...,http://www.indeed.com/viewjob?jk=686742a2baeffa0c&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhs27afgnehu,false
Hillsboro,MWH,Cost Administrator,f3119d563e33a476,3-5 years of experience in a support role within a project cost controls| project analyst| project accounting of financial management setting....,http://www.indeed.com/viewjob?jk=f3119d563e33a476&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhs27afgnehu,false
Portland,City of Portland  OR,Deputy Chief Administrative Officer,300b989cfa6d69e3,Provides operational and organizational financial analysis and implementation in support of budgets| business decisions| business processes| funding plans| and...,http://www.indeed.com/viewjob?jk=300b989cfa6d69e3&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhs27afgnehu,false
Milwaukie,Warn Industries,Senior JDE Functional Analyst,5517a17c6d8e7116,5 - 10 years as JDE Enterprise One (v.9.1) Sales and Distribution Systems and Manufacturing Analyst. Identify| implement and support financial process best...,http://www.indeed.com/viewjob?jk=5517a17c6d8e7116&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhs27afgnehu,false
Portland,First American,Associate Desktop Support Analyst,3968675bdc13edef,First American Financial Corporation (NYSE:. Participates in team projects to enhance the technical infrastructure or improve quality or efficiency of problem...,http://www.indeed.com/viewjob?jk=3968675bdc13edef&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhs27afgnehu,false
Portland,Portland General Electric,Senior Data Analyst IV,e7126728a13fddac,Strategic Analytics Data Analyst| Analyst IV - EX-12. Additionally| you will utilize your strong technical skills to assist in a wide variety of areas...,http://www.indeed.com/viewjob?jk=e7126728a13fddac&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhs27afgnehu,false
Portland,Umpqua Bank,Capital Planning Model Monitoring Quant - Portland,3aedaad36a2beb67,Financial planning models| fraud detection models| credit risk management| anti-money laundering| asset and liability management| and Dodd-Frank Act Stress...,http://www.indeed.com/viewjob?jk=3aedaad36a2beb67&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhs27afgnehu,false
Portland,The Standard,Actuarial Assoc,a7ad1dfcd2cb1557,Knowledge of Statutory| GAAP and Tax financial reporting is required. In addition to modeling support| the role will assist in financial planning and experience...,http://www.indeed.com/viewjob?jk=a7ad1dfcd2cb1557&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhs27afgnehu,false
Portland,PacifiCorp,Senior Planning/ FA Analyst or Specialist- Portland  Oregon,a03b9997dfc066e9,Experience in SAP Financial Systems modules. Activities include| but are not limited to| development and maintenance of financial models| development and...,http://www.indeed.com/viewjob?jk=a03b9997dfc066e9&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhs27afgnehu,false
Portland,Columbia Sportswear,Sr Business Systems Analyst – Retail Inventory,9f17c5ff50f598b9,Strong understanding of Financial accounting &amp; audit| Inventory Control| Physical Inventory| Financial reconciliation and associated analytics....,http://www.indeed.com/viewjob?jk=9f17c5ff50f598b9&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhs27afgnehu,false
Portland,BolyːWelch,Cost Analyst,24c1839345ec5bcd,Contributing to cross functional teams in the design| development and implementation of financial and cost analysis tools and processes| with a focus on cost...,http://www.indeed.com/viewjob?jk=24c1839345ec5bcd&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhs27afgnehu,false
Portland,City of Portland  OR,Government Relations Director,243b67669bb9bc6e,John DiGrazia| Senior Human Resources Analyst. Average temperatures range between 34° in winter to 80° in summer and Portland receives 37&quot; of rain annually|...,http://www.indeed.com/viewjob?jk=243b67669bb9bc6e&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhs27afgnehu,false
Vancouver,VanderHouwen,Financial Analyst,9242822dbe039071,Financial Analyst Qualifications. Responsibilities of the Financial Analyst. Our client has an immediate need for a Financial Analyst....,http://www.indeed.com/viewjob?jk=9242822dbe039071&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhs27afgnehu,false
Vancouver,The Home Depot,OPERATIONS BUSINESS ANALYST,d60482615004c030,Provide multilevel feedback to analysts and managers. We are currently hiring for a Call Center Operations Analyst....,http://www.indeed.com/viewjob?jk=d60482615004c030&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhs27afgnehu,false
Portland,Genpact,Accounting Clerk,774c7f2ce9e7bd8d,Are you and experienced *A/R or Accounting Analyst*. Process and audit financial adjustments (customer overpayments| payoffs| payment changes)....,http://www.indeed.com/viewjob?jk=774c7f2ce9e7bd8d&qd=It58WvWvRiWAhLiD1H0pL3ixFDXZIdYdJjdysYLKFtyTNCrH_VpRtQRfHZfVkp5QlcmwDj2H0tQWXUsvmsn_27S_aCDYoMH54fUSlZOxSvUVz4afpprZXKLqiLU46MMv&indpubnum=2849821278263879&atk=1btbdhs27afgnehu,false
