city,company,jobtitle,jobkey,description,url,expired
Houston,Core Technologies,Programmer/Analyst II,2489a03a34d663f5,May assist other programmers by analyzing user needs. The Programmer Analyst II| under the guidance of the Programmer Analyst III and the Applications...,http://www.indeed.com/viewjob?jk=2489a03a34d663f5&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816eo18gt0d5,false
Houston,ProSource Technologies LLC,Information Technology Specialist,3a81d2ed2070f3c7,Assists programmers and users in interfacing their application systems with system software packages| and in resolving program logic errors....,http://www.indeed.com/viewjob?jk=3a81d2ed2070f3c7&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816eo18gt0d5,false
Houston,V3Main Technologies Inc.,VB.C#.NET  3.5/4.0 framework  ASP.NET Developer,b928e9d5f11cc558,The Senior IT Programmer Analyst should be ready to take up Brainbench on-line technical screening on C# Fundamentals. Duties &amp; Responsibilities:....,http://www.indeed.com/viewjob?jk=b928e9d5f11cc558&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816eo18gt0d5,false
Houston,MHI Partnership  LTD.,.NET Web Developer,9b31c960409753b3,Developer will be a part of a small team of programmers| working on existing| and new applications. For more than 25 years| McGuyer Homebuilders| Inc....,http://www.indeed.com/viewjob?jk=9b31c960409753b3&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816eo18gt0d5,false
Houston,McGuyer Homebuilders  Inc.,.NET Web Developer,15ec87aec46c045c,Developer will be a part of a small team of programmers| working on existing| and new applications. For more than 25 years| McGuyer Homebuilders| Inc....,http://www.indeed.com/viewjob?jk=15ec87aec46c045c&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816pf18jq3to,false
Houston,Automation Solutions  Inc.,Linux Embedded Software Engineer/Programmer,71125a3133ae95a6,*About the Company* AUTOSOL is a Houston based company with a focus of remote data communications software and hardware products. Our cutting-edge products...,http://www.indeed.com/viewjob?jk=71125a3133ae95a6&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816pf18jq3to,false
Houston,Tangible Difference Learning Center (TDLC),BCBA Programmer,57e222ccf118dbc1,Delegating duties and responsibilities to Assistant Programmers and Therapists. Delegate client/classroom updates and maintenance of programs to team programmer...,http://www.indeed.com/viewjob?jk=57e222ccf118dbc1&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816pf18jq3to,false
Houston,EML Incorporated,Systems Programmer,a48c0c5478eebe1d,Skills needed - a MVS XA ESA OS390 or z OS| IMS CICS Systems programmer - 10 years Need to have experience working with these products - not necessarily the...,http://www.indeed.com/viewjob?jk=a48c0c5478eebe1d&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816pf18jq3to,false
Houston,alliantgroup,Java Programmer,6af451df929f3d3a,As a JAVA Programmer| you will report directly to a Managing Director to develop and enhance an existing energy modeling application....,http://www.indeed.com/viewjob?jk=6af451df929f3d3a&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816pf18jq3to,false
Houston,QuEST Global Engineering,Embedded Programmer,23bedce3be7b36a8,Essential Job Functions: The Test System Designer’s primary focus will be to code and debug PC code in C#. This team member will collaborate with the...,http://www.indeed.com/viewjob?jk=23bedce3be7b36a8&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816pf18jq3to,false
Houston,Harris County,.Net Programmer,9395fc54da6eb504,The .Net Programmer will be working in all phases of the software engineering practice| and across many applications and products. Duties and Responsibilities:....,http://www.indeed.com/viewjob?jk=9395fc54da6eb504&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816pf18jq3to,false
Houston,Conference Technologies  Inc.,Audio Visual Control Systems Programmer,e0ab107be31a00e9,Audio Visual Control Systems Programmer*. We are looking for an AV Control Systems Programmer for our Houston branch whose attitude| skills| and work ethic will...,http://www.indeed.com/viewjob?jk=e0ab107be31a00e9&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816pf18jq3to,false
Houston,ENGlobal,Automation Engineer / Specialist - Houston,06bf342c60800d6d,PLC/DCS Programmer proficient with IEC-61131-3 programming languages. Automation Engineer / Specialist - Houston....,http://www.indeed.com/viewjob?jk=06bf342c60800d6d&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816pf18jq3to,false
Houston,Trace-A-Matic - Houston,Quality Control Inspector,e5cbf0606434bdc6,Working with Team Lead| troubleshoot manufacturing operations performed by interfacing with machinists| inspectors| supervisors| and programmers;...,http://www.indeed.com/viewjob?jk=e5cbf0606434bdc6&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816pf18jq3to,false
Houston,Valic,Sr. Programmer,9be1ace2ff0ef68e,Programmer - Treasury IT. Programmer is charged with using their deep technical| development and business knowledge to design| develop and implement...,http://www.indeed.com/viewjob?jk=9be1ace2ff0ef68e&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816pf18jq3to,false
Houston,Memorial Hermann,Sr Systems Programmer Analyst - ServiceNow,5dc834628f9c03ee,Experience assisting other programmers. Sr Systems Programmer Analyst - ServiceNowSystem Services Westside Job Description Position responsible for programming...,http://www.indeed.com/viewjob?jk=5dc834628f9c03ee&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816pf18jq3to,false
Houston,AIG,Sr. Programmer - Treasury IT,4c8833f62c4b6efc,Programmer - Treasury IT. Programmer is charged with using their deep technical| development and business knowledge to design| develop and implement...,http://www.indeed.com/viewjob?jk=4c8833f62c4b6efc&qd=It58WvWvRiWAhLiD1H0pL5y4ukJXtV_O-1ENltdkjO8nKxkY5UojEVq--vyb4Bky2UwCMFfE5OEM3WZfcKkfQri4m-YVuh9wmM2Zz9QHEZIkt0LCVy_rQinuMfW47e_m&indpubnum=2849821278263879&atk=1bsq816pf18jq3to,false
